user_id,is_active,change_button_link,videos_uploaded,save_edit_placeholder,publishes,change_button_name,w_sessions,change_placeholder_title,w_watches,w_auth_watchers,w_customers,w_revenue
x2hkdw2p9w,1.0,0.0,34.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,
0e1krhqq39,1.0,0.0,24.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,
j60svfhzra,1.0,0.0,14.0,8.0,4.0,0.0,10.0,5.0,0.0,0.0,0.0,
vw2a1nqs9p,1.0,0.0,7.0,8.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,
j80gayfz0l,1.0,0.0,6.0,11.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,
2nm0se54ci,1.0,0.0,5.0,5.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,
q80b8hguag,1.0,0.0,5.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,
2wwdxicnml,1.0,0.0,11.0,19.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,
ounqusnr1f,1.0,0.0,6.0,6.0,7.0,0.0,14.0,0.0,1.0,1.0,0.0,
ommeescj83,1.0,0.0,4.0,1.0,7.0,0.0,30.0,0.0,1.0,1.0,1.0,50.0
t399vujrrb,1.0,0.0,2.0,1.0,1.0,0.0,11.0,0.0,1.0,1.0,0.0,
8kmpx65tb5,1.0,0.0,7.0,5.0,7.0,0.0,20.0,18.0,2.0,2.0,0.0,
f2n3tctyfs,1.0,0.0,4.0,6.0,3.0,0.0,19.0,0.0,2.0,1.0,0.0,
3aphmh92sf,1.0,0.0,4.0,7.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,
qcn58dbwdr,1.0,0.0,3.0,0.0,3.0,0.0,15.0,0.0,4.0,2.0,2.0,10.0
ymm4a3bw3c,1.0,2.0,8.0,3.0,5.0,0.0,18.0,1.0,3.0,1.0,0.0,
5ors1g0qwc,1.0,0.0,7.0,10.0,3.0,0.0,17.0,0.0,4.0,1.0,0.0,
r2bzojb0dc,1.0,0.0,6.0,10.0,5.0,0.0,20.0,10.0,4.0,1.0,0.0,
xix7lzcnmz,1.0,0.0,5.0,8.0,6.0,0.0,6.0,2.0,5.0,1.0,0.0,
zwtpa7hv05,1.0,0.0,22.0,24.0,17.0,0.0,31.0,0.0,6.0,1.0,0.0,
unjvwx3ve8,1.0,0.0,15.0,7.0,7.0,0.0,18.0,4.0,6.0,1.0,0.0,
h60ij24z1r,1.0,0.0,4.0,0.0,3.0,0.0,89.0,0.0,6.0,1.0,0.0,
y2rm19tsxu,1.0,0.0,12.0,12.0,21.0,0.0,23.0,11.0,7.0,2.0,0.0,
tubzlnvxyo,1.0,0.0,12.0,7.0,1.0,0.0,14.0,0.0,7.0,1.0,0.0,
4sr5dp6glr,1.0,0.0,6.0,7.0,3.0,0.0,52.0,2.0,7.0,1.0,0.0,
q1kjwklbw1,1.0,0.0,17.0,10.0,20.0,0.0,17.0,3.0,8.0,1.0,0.0,
l2z20e0ge9,1.0,1.0,9.0,9.0,5.0,0.0,23.0,37.0,8.0,1.0,0.0,
35gg8mfmi4,1.0,3.0,5.0,12.0,7.0,1.0,20.0,11.0,12.0,1.0,0.0,
dtltocxuzw,1.0,0.0,5.0,11.0,8.0,0.0,18.0,0.0,16.0,2.0,0.0,
gs5vqj5mxy,1.0,0.0,5.0,2.0,4.0,0.0,37.0,1.0,16.0,1.0,0.0,
b25oth0m80,1.0,0.0,11.0,0.0,4.0,0.0,23.0,0.0,21.0,2.0,0.0,
zw12i82uhl,1.0,1.0,5.0,7.0,16.0,1.0,118.0,4.0,23.0,3.0,2.0,15.0
5wpfbk0ex9,1.0,0.0,5.0,2.0,6.0,0.0,225.0,1.0,25.0,1.0,0.0,
godcp0s5st,1.0,0.0,2.0,7.0,10.0,0.0,11.0,0.0,4.0,1.0,0.0,
im7vph42iu,1.0,0.0,15.0,29.0,1.0,0.0,29.0,0.0,29.0,2.0,0.0,
cpttnhi5ns,1.0,0.0,4.0,6.0,5.0,0.0,39.0,19.0,31.0,1.0,0.0,
dgcqztz72s,1.0,0.0,8.0,8.0,1.0,0.0,31.0,0.0,44.0,2.0,0.0,
67ccwn2say,1.0,0.0,6.0,3.0,4.0,0.0,39.0,0.0,52.0,1.0,0.0,
3q7onxm9bg,1.0,0.0,10.0,14.0,10.0,0.0,54.0,0.0,66.0,1.0,0.0,
zcg54iwqub,1.0,0.0,5.0,3.0,2.0,0.0,228.0,4.0,69.0,7.0,0.0,
d6q5vxnroa,1.0,0.0,0.0,11.0,2.0,0.0,86.0,5.0,89.0,1.0,0.0,
1owa44l6fl,1.0,1.0,97.0,16.0,8.0,1.0,109.0,17.0,103.0,2.0,0.0,
ro2866xmqk,1.0,0.0,6.0,5.0,9.0,0.0,79.0,3.0,142.0,1.0,0.0,
ns12scgg9y,1.0,0.0,13.0,12.0,16.0,0.0,87.0,12.0,148.0,2.0,0.0,
knfouhghs9,1.0,6.0,16.0,25.0,6.0,1.0,186.0,18.0,309.0,2.0,0.0,
l99kn4y5re,1.0,0.0,4.0,2.0,3.0,0.0,1119.0,0.0,589.0,49.0,0.0,
q825q4ty9k,1.0,0.0,4.0,10.0,5.0,0.0,360.0,0.0,633.0,15.0,0.0,
cesz2xjkto,1.0,0.0,6.0,0.0,10.0,0.0,465.0,0.0,726.0,2.0,0.0,
rugnw5a7bc,1.0,1.0,27.0,25.0,65.0,0.0,1448.0,3.0,862.0,22.0,13.0,1249.0
dq3mfpxkeu,1.0,0.0,16.0,33.0,22.0,0.0,1069.0,1.0,1316.0,15.0,5.0,55.0
zacy40ztj6,1.0,0.0,29.0,0.0,2.0,0.0,11.0,0.0,3.0,1.0,0.0,
ovo59471re,1.0,0.0,12.0,9.0,5.0,0.0,2558.0,8.0,4420.0,58.0,0.0,
t4sd8dw774,1.0,0.0,7.0,2.0,8.0,0.0,38.0,0.0,30.0,1.0,0.0,
f35n8dd2qe,1.0,0.0,16.0,4.0,7.0,0.0,8010.0,0.0,9878.0,20.0,0.0,
j4mry2vfyp,1.0,0.0,81.0,3.0,7.0,0.0,129.0,0.0,164.0,5.0,0.0,
2h8d29s3jn,1.0,0.0,32.0,31.0,20.0,0.0,207.0,0.0,388.0,1.0,0.0,
crvnjktbwa,1.0,2.0,29.0,71.0,71.0,1.0,26657.0,26.0,29984.0,24.0,0.0,
djo2unwmae,1.0,0.0,7.0,14.0,13.0,0.0,28.0,0.0,19.0,1.0,0.0,
47l0ripdb7,1.0,0.0,20.0,0.0,12.0,0.0,88.0,0.0,157.0,4.0,0.0,
l0zo6do99n,1.0,0.0,15.0,14.0,5.0,0.0,202.0,0.0,180.0,2.0,0.0,
ibb4poef75,1.0,0.0,20.0,53.0,7.0,0.0,4474.0,0.0,1109.0,78.0,90.0,1705.0
uglom1v1ho,1.0,0.0,16.0,43.0,17.0,0.0,638.0,0.0,676.0,11.0,20.0,1592.0
82bc8mi9u2,1.0,0.0,17.0,31.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,
epvahrn56k,1.0,0.0,11.0,28.0,25.0,0.0,185.0,20.0,46.0,12.0,15.0,1150.0
0ioi78fi8r,1.0,0.0,23.0,36.0,18.0,0.0,262.0,0.0,378.0,11.0,10.0,1060.0
36up6644vv,1.0,0.0,11.0,7.0,6.0,0.0,47.0,0.0,6.0,3.0,2.0,1051.0
buegcuj3d6,1.0,0.0,40.0,57.0,15.0,0.0,49907.0,12.0,48709.0,1500.0,15.0,915.0
7mit2uh5wi,1.0,0.0,52.0,58.0,64.0,0.0,538.0,52.0,108.0,7.0,7.0,405.0
mkgfv9vzhn,1.0,7.0,12.0,23.0,11.0,2.0,115.0,8.0,32.0,6.0,6.0,179.0
ceqru85nkt,1.0,0.0,12.0,12.0,5.0,0.0,533.0,10.0,179.0,5.0,3.0,60.0
mdaerry5im,1.0,8.0,24.0,29.0,59.0,6.0,487.0,19.0,757.0,5.0,1.0,50.0
3pl4p0kcmk,1.0,0.0,13.0,8.0,9.0,0.0,23.0,0.0,2.0,2.0,1.0,50.0
9rc0pmco8w,1.0,0.0,16.0,17.0,6.0,0.0,479.0,1.0,32.0,4.0,5.0,38.0
7uj8xx9xl8,1.0,0.0,4.0,9.0,3.0,0.0,15.0,5.0,1.0,1.0,1.0,10.0
82xe4vm0pe,1.0,0.0,3.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,1.0,10.0
ygic1ctzgu,1.0,0.0,25.0,36.0,12.0,0.0,366.0,0.0,104.0,2.0,2.0,6.0
2r0djepbmy,1.0,0.0,3.0,6.0,5.0,0.0,26.0,0.0,3.0,1.0,0.0,
zzfcnpwmhl,1.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,3.0,2.0,0.0,
8ijdpsxlhe,1.0,0.0,21.0,27.0,18.0,0.0,30.0,1.0,4.0,2.0,1.0,10.0
fuvwpijchb,1.0,0.0,36.0,71.0,53.0,0.0,6410.0,0.0,11430.0,116.0,4.0,4.0
yaxnrdvi9w,1.0,0.0,27.0,21.0,16.0,0.0,272.0,2.0,409.0,4.0,3.0,3.0
rtw2ljvu81,1.0,0.0,16.0,17.0,5.0,0.0,18.0,0.0,4.0,1.0,0.0,
uj5t39k3xm,1.0,4.0,9.0,22.0,14.0,2.0,125.0,11.0,19.0,4.0,1.0,2.0
59zwookeqi,1.0,0.0,24.0,40.0,1.0,0.0,48.0,0.0,6.0,1.0,0.0,
9pg6it26lr,1.0,0.0,47.0,72.0,18.0,0.0,112.0,33.0,8.0,1.0,0.0,
8idtnhvy1f,1.0,0.0,8.0,7.0,2.0,0.0,23.0,0.0,11.0,1.0,0.0,
4pcvzcyozl,1.0,13.0,16.0,34.0,28.0,9.0,78.0,15.0,13.0,2.0,1.0,5.0
e8r8gm0k3e,1.0,0.0,8.0,3.0,7.0,0.0,41.0,2.0,14.0,4.0,1.0,2.0
bs9apw8zbo,1.0,3.0,22.0,51.0,13.0,3.0,49.0,51.0,33.0,4.0,4.0,1040.0
esbnl73v9q,1.0,12.0,10.0,24.0,22.0,5.0,168.0,17.0,39.0,3.0,0.0,
hwhh11hvwu,1.0,0.0,16.0,17.0,10.0,0.0,88.0,0.0,51.0,1.0,0.0,
um3ifrotwz,1.0,20.0,58.0,94.0,24.0,21.0,74.0,1.0,61.0,1.0,0.0,
udlwbfmrjl,1.0,0.0,14.0,5.0,12.0,0.0,155.0,2.0,65.0,2.0,0.0,
5y7f3wm3fz,1.0,0.0,26.0,36.0,29.0,0.0,399.0,0.0,70.0,10.0,8.0,87.0
pcgxg08im0,1.0,1.0,59.0,79.0,27.0,0.0,351.0,10.0,158.0,11.0,5.0,5.0
punqimco6y,1.0,0.0,36.0,17.0,9.0,0.0,72.0,0.0,160.0,3.0,0.0,
hvhbv5wte6,1.0,0.0,92.0,166.0,17.0,0.0,266.0,28.0,173.0,35.0,10.0,1000.0
p1encem0o1,1.0,0.0,52.0,91.0,70.0,0.0,289.0,77.0,181.0,4.0,1.0,15.0
l3x9967i09,1.0,0.0,19.0,25.0,10.0,0.0,271.0,0.0,254.0,4.0,0.0,
4buj3e1jxe,1.0,2.0,77.0,68.0,24.0,0.0,655.0,19.0,300.0,12.0,15.0,1293.0
h5psug9zeq,1.0,2.0,27.0,124.0,88.0,2.0,763.0,26.0,573.0,24.0,16.0,752.0
elow2t0asy,1.0,0.0,22.0,34.0,12.0,0.0,493.0,0.0,750.0,21.0,6.0,60.0
hxww2rdubh,1.0,1.0,37.0,70.0,44.0,0.0,2438.0,44.0,2194.0,109.0,111.0,1458.0
958xzmqxbm,1.0,0.0,27.0,14.0,4.0,0.0,2486.0,0.0,2451.0,72.0,0.0,
io5isoenx5,1.0,0.0,28.0,2.0,27.0,0.0,3717.0,0.0,4410.0,29.0,16.0,95.0
5dxtebf4kr,1.0,0.0,19.0,37.0,4.0,0.0,33.0,0.0,13.0,2.0,0.0,
u84e6r2h72,1.0,0.0,49.0,50.0,26.0,0.0,545.0,0.0,173.0,6.0,0.0,
daeultzykr,1.0,0.0,2.0,2.0,2.0,0.0,38.0,0.0,1.0,1.0,0.0,
yzgmjarso7,1.0,0.0,8.0,8.0,2.0,0.0,14.0,0.0,2.0,1.0,0.0,
g4ztdwtv7q,1.0,0.0,16.0,16.0,4.0,0.0,35.0,0.0,4.0,1.0,0.0,
m8j2zsqvis,1.0,0.0,22.0,14.0,8.0,0.0,46.0,6.0,13.0,1.0,0.0,
qxb30v6v5y,1.0,0.0,134.0,51.0,33.0,0.0,136.0,33.0,162.0,3.0,0.0,
sl5meyfjsx,0.0,0.0,10.0,0.0,5.0,0.0,29.0,0.0,781.0,2.0,0.0,
2lacpoo7zh,0.0,0.0,3.0,1.0,8.0,0.0,365.0,1.0,29.0,2.0,2.0,60.0
knmciq8quu,0.0,0.0,28.0,0.0,1.0,0.0,28.0,0.0,136.0,1.0,0.0,
b0d31e60kf,0.0,0.0,28.0,0.0,1.0,0.0,24.0,0.0,108.0,1.0,0.0,
0ddeolgjep,0.0,0.0,6.0,11.0,10.0,0.0,90.0,6.0,75.0,7.0,0.0,
qzphb2i3qi,0.0,0.0,14.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
4kg9pa6z3p,0.0,0.0,13.0,2.0,5.0,0.0,5549.0,0.0,4822.0,48.0,0.0,
ankdi07hut,0.0,0.0,12.0,16.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,
64kdpgltrq,0.0,0.0,4.0,4.0,11.0,0.0,7.0,2.0,27.0,1.0,0.0,
2l16kaboeo,0.0,0.0,11.0,4.0,3.0,0.0,5.0,2.0,21.0,1.0,0.0,
p9kn9ogays,0.0,0.0,9.0,0.0,6.0,0.0,23.0,0.0,21.0,1.0,0.0,
u1fqmbk8p6,0.0,0.0,10.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,
ikai5v23co,0.0,0.0,10.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,
p0rjnmafwh,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
zan4kat92j,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
gw215l3djz,0.0,0.0,10.0,2.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,
c5yjkmjh0z,0.0,0.0,9.0,3.0,4.0,0.0,43.0,0.0,21.0,1.0,0.0,
ir2h69xt3u,0.0,0.0,4.0,0.0,1.0,0.0,14.0,0.0,21.0,1.0,0.0,
kvbplyoatf,0.0,0.0,4.0,2.0,6.0,0.0,24.0,1.0,21.0,1.0,0.0,
wk6dxy552i,0.0,0.0,5.0,0.0,2.0,0.0,24.0,0.0,18.0,1.0,0.0,
mkkthp3ac6,0.0,5.0,4.0,7.0,9.0,1.0,19.0,8.0,18.0,1.0,0.0,
1reospko9w,0.0,0.0,9.0,0.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,
n3nxrgs97p,0.0,0.0,7.0,5.0,3.0,0.0,6.0,0.0,13.0,1.0,0.0,
h3kpnf99ev,0.0,0.0,7.0,0.0,2.0,0.0,17.0,0.0,13.0,1.0,0.0,
r5wmdnbel2,0.0,0.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,
vq65wxre4e,0.0,0.0,8.0,5.0,3.0,0.0,22.0,0.0,0.0,0.0,0.0,
1avxdaolhr,0.0,0.0,8.0,2.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,
lij7arh5s4,0.0,0.0,5.0,1.0,2.0,0.0,4.0,0.0,11.0,2.0,0.0,
i4qasc68k0,0.0,0.0,4.0,0.0,7.0,0.0,17.0,0.0,11.0,1.0,0.0,
camv1rviyg,0.0,0.0,10.0,3.0,4.0,0.0,5.0,0.0,9.0,1.0,0.0,
81k3n1j22i,0.0,0.0,6.0,0.0,4.0,0.0,25.0,0.0,9.0,1.0,0.0,
ue16zh9geb,0.0,0.0,5.0,7.0,9.0,0.0,23.0,0.0,9.0,2.0,2.0,9.0
0s1u9my4zs,0.0,0.0,7.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,
pfueejxmkf,0.0,0.0,7.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,
917kljuc1u,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
rw370sggbn,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ok9grwfyqe,0.0,0.0,7.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,
ka9w49jph3,0.0,2.0,7.0,5.0,4.0,0.0,7.0,6.0,0.0,0.0,0.0,
pkydgg6z7r,0.0,0.0,8.0,11.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,
5rn2ia68z5,0.0,0.0,4.0,4.0,4.0,0.0,24.0,0.0,8.0,1.0,0.0,
woe8mg1z7e,0.0,0.0,4.0,7.0,2.0,0.0,21.0,3.0,8.0,2.0,0.0,
lkb7xoiced,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
9z4abwz59s,0.0,1.0,5.0,1.0,7.0,0.0,18.0,1.0,7.0,2.0,0.0,
lusyxl237v,0.0,0.0,4.0,6.0,6.0,0.0,30.0,0.0,7.0,2.0,1.0,2.0
spa97o8mvw,0.0,0.0,4.0,3.0,4.0,0.0,8.0,0.0,7.0,1.0,0.0,
v3k5sbwdou,0.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,7.0,1.0,0.0,
mczrei37ju,0.0,0.0,6.0,1.0,3.0,0.0,9.0,0.0,1.0,1.0,0.0,
bncphw6svj,0.0,2.0,6.0,5.0,7.0,1.0,2.0,0.0,1.0,1.0,0.0,
xx6egx0cjh,0.0,0.0,6.0,2.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,
78wvfes6nc,0.0,0.0,6.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,
3tsrx3tn8u,0.0,0.0,6.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,
9jcbpt2p5i,0.0,0.0,2.0,0.0,6.0,0.0,8.0,2.0,1.0,1.0,0.0,
okcypmju8e,0.0,0.0,6.0,5.0,6.0,0.0,9.0,0.0,3.0,1.0,0.0,
vfwpcmf6k7,0.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,6.0,1.0,0.0,
7zv7vkfrmp,0.0,0.0,9.0,6.0,1.0,0.0,6.0,3.0,5.0,1.0,0.0,
s5bcbs3nc1,0.0,0.0,8.0,1.0,3.0,0.0,8.0,1.0,5.0,1.0,0.0,
sfaog6tnv0,0.0,0.0,6.0,0.0,10.0,0.0,8.0,0.0,5.0,1.0,0.0,
hfhun6e2fe,0.0,0.0,6.0,0.0,2.0,0.0,21.0,0.0,5.0,1.0,0.0,
ucjkcv8k4t,0.0,0.0,4.0,0.0,5.0,0.0,11.0,0.0,5.0,1.0,0.0,
xc5x571o3u,0.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,5.0,1.0,0.0,
tg1arwspmy,0.0,0.0,8.0,3.0,7.0,0.0,72.0,3.0,4.0,1.0,1.0,5.0
t6u1k1w81e,0.0,0.0,5.0,0.0,1.0,0.0,9.0,0.0,1.0,1.0,0.0,
tnmx3kluqy,0.0,0.0,5.0,0.0,4.0,0.0,7.0,0.0,1.0,1.0,0.0,
a2vmt26agr,0.0,0.0,5.0,0.0,2.0,0.0,9.0,0.0,1.0,1.0,0.0,
apdt28031q,0.0,0.0,5.0,4.0,3.0,0.0,5.0,6.0,0.0,0.0,0.0,
uhlx73ctal,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
efnev7d2un,0.0,0.0,3.0,3.0,1.0,0.0,10.0,0.0,3.0,1.0,0.0,
eo0s5l2whc,0.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,
u9rkvm3ubd,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
dg7wxtpd2u,0.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,
pfml3q3cjp,0.0,0.0,5.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,
pyi03wsofs,0.0,0.0,6.0,1.0,1.0,0.0,14.0,0.0,4.0,1.0,0.0,
xak61wyk92,0.0,2.0,5.0,2.0,4.0,1.0,59.0,0.0,4.0,1.0,0.0,
64dmip53ok,0.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,4.0,1.0,0.0,
51krq2fc16,0.0,0.0,4.0,0.0,5.0,0.0,7.0,0.0,4.0,1.0,0.0,
rhbgh85jlj,0.0,0.0,15.0,2.0,6.0,0.0,60.0,1.0,3.0,1.0,0.0,
fv9x2l6q2h,0.0,0.0,6.0,1.0,3.0,0.0,5.0,3.0,3.0,1.0,0.0,
mytpor5u0o,0.0,0.0,4.0,4.0,4.0,0.0,5.0,0.0,3.0,1.0,0.0,
ga94ibbxgn,0.0,0.0,4.0,1.0,5.0,0.0,13.0,1.0,3.0,1.0,0.0,
o74nt7xzzj,0.0,0.0,4.0,0.0,2.0,0.0,6.0,0.0,3.0,1.0,0.0,
3ipwq4b4h1,0.0,0.0,2.0,2.0,2.0,0.0,11.0,0.0,2.0,1.0,0.0,
kz8rbyywi4,0.0,0.0,17.0,1.0,4.0,0.0,7.0,0.0,2.0,1.0,0.0,
yxh5322mcs,0.0,0.0,9.0,0.0,8.0,0.0,5.0,0.0,2.0,1.0,0.0,
mtgfz25wfo,0.0,0.0,9.0,6.0,4.0,0.0,8.0,0.0,2.0,1.0,0.0,
lql87gsuip,0.0,1.0,7.0,6.0,17.0,1.0,126.0,2.0,2.0,1.0,0.0,
3mo8m1n46e,0.0,0.0,6.0,0.0,2.0,0.0,9.0,0.0,2.0,1.0,0.0,
dylljnvmkl,0.0,0.0,6.0,0.0,2.0,0.0,11.0,0.0,2.0,1.0,0.0,
8sr0q38wwv,0.0,0.0,4.0,3.0,3.0,0.0,36.0,0.0,2.0,1.0,0.0,
rlz5bmmrke,0.0,0.0,6.0,3.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,
hls09xbvgx,0.0,0.0,5.0,1.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,
628cy5lraz,0.0,0.0,5.0,5.0,3.0,0.0,11.0,0.0,2.0,1.0,0.0,
dvd19sayac,0.0,0.0,5.0,3.0,4.0,0.0,3.0,0.0,2.0,1.0,0.0,
02te33af82,0.0,0.0,4.0,2.0,7.0,0.0,5.0,1.0,2.0,1.0,0.0,
3b68ozsym6,0.0,0.0,4.0,5.0,3.0,0.0,2.0,5.0,2.0,1.0,0.0,
y6izu44857,0.0,0.0,4.0,0.0,5.0,0.0,9.0,0.0,2.0,2.0,0.0,
4m11z0g8ty,0.0,0.0,4.0,0.0,2.0,0.0,5.0,0.0,1.0,1.0,0.0,
sbe83sr584,0.0,0.0,4.0,0.0,1.0,0.0,12.0,0.0,1.0,1.0,0.0,
rd0gznt8m5,0.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,0.0,
u8p9vjs24q,0.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,
bw5aalpljp,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
gmqyx86x1j,0.0,0.0,4.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
